Sample,Feature,Feature Value,SHAP Value
MBE3-251114B-MM,Ripening time (s),0.0,[ 0.26732937 -0.26732937]
MBE3-251114B-MM,Bi surfactant,0.0,[ 0.05694444 -0.05694444]
MBE3-251114B-MM,In/Ga ratio,0.0,[ 0.02342598 -0.02342598]
MBE3-251114B-MM,V/III ratio,2.92,[ 0.1607981 -0.1607981]
MBE3-251118A-MM,T Sub (°C),450.0,[ 0.14503128 -0.14503128]
MBE3-251118A-MM,Ripening time (s),0.0,[ 0.16651729 -0.16651729]
MBE3-251118A-MM,Bi surfactant,0.0,[ 0.04866138 -0.04866138]
MBE3-251118A-MM,In/Ga ratio,0.0,[ 0.00344952 -0.00344952]
MBE3-251118A-MM,V/III ratio,2.92,[ 0.13634052 -0.13634052]
MBE3-251118B-MM,T Sub (°C),475.0,[ 0.15275101 -0.15275101]
MBE3-251118B-MM,Ripening time (s),0.0,[ 0.16554954 -0.16554954]
MBE3-251118B-MM,Bi surfactant,0.0,[ 0.04820763 -0.04820763]
MBE3-251118B-MM,In/Ga ratio,0.0,[ 0.00326229 -0.00326229]
MBE3-251118B-MM,V/III ratio,2.92,[ 0.13022954 -0.13022954]
MBE3-251124A-MM,T Sub (°C),425.0,[ 0.1332982 -0.1332982]
MBE3-251124A-MM,Ripening time (s),0.0,[ 0.20563377 -0.20563377]
MBE3-251124A-MM,Bi surfactant,0.0,[ 0.04924839 -0.04924839]
MBE3-251124A-MM,In/Ga ratio,0.0,[ 0.00056773 -0.00056773]
MBE3-251124A-MM,V/III ratio,2.65,[ 0.11125191 -0.11125191]
MBE3-260303A-MM,T Sub (°C),393.0,[-0.1187733  0.1187733]
MBE3-260303A-MM,Ripening time (s),112.0,[-0.35288009  0.35288009]
MBE3-260303A-MM,Bi surfactant,0.0,[ 0.03187606 -0.03187606]
MBE3-260303A-MM,In/Ga ratio,0.44943820224719117,[-0.06342561  0.06342561]
MBE3-260303A-MM,V/III ratio,2.588875340024388,[ 0.00320294 -0.00320294]
MBE3-260303B-MM,T Sub (°C),401.0,[ 0.03175774 -0.03175774]
MBE3-260303B-MM,Ripening time (s),58.0,[ 0.10143464 -0.10143464]
MBE3-260303B-MM,Bi surfactant,0.0,[ 0.07323708 -0.07323708]
MBE3-260303B-MM,In/Ga ratio,0.8166666666666667,[ 0.19327916 -0.19327916]
MBE3-260303B-MM,V/III ratio,1.982018798528811,[ 0.10029138 -0.10029138]
MBE3-260306B-MM,T Sub (°C),490.0,[ 0.32961617 -0.32961617]
MBE3-260306B-MM,Ripening time (s),106.0,[-0.0520681  0.0520681]
MBE3-260306B-MM,Bi surfactant,0.0,[ 0.06152033 -0.06152033]
MBE3-260306B-MM,In/Ga ratio,0.6946107784431135,[ 0.10846689 -0.10846689]
MBE3-260306B-MM,V/III ratio,4.992657856093979,[ 0.05246471 -0.05246471]
MBE3-260408A-MM ,T Sub (°C),393.0,[-0.09926511  0.09926511]
MBE3-260408A-MM ,Ripening time (s),112.0,[-0.35678889  0.35678889]
MBE3-260408A-MM ,Bi surfactant,0.0,[ 0.02859559 -0.02859559]
MBE3-260408A-MM ,In/Ga ratio,0.17808219178082196,[-0.08407615  0.08407615]
MBE3-260408A-MM ,V/III ratio,2.57029702970297,[ 0.01153456 -0.01153456]
MBE3-260410A-MM ,T Sub (°C),393.0,[-0.09500341  0.09500341]
MBE3-260410A-MM ,Ripening time (s),112.0,[-0.26338834  0.26338834]
MBE3-260410A-MM ,Bi surfactant,1.0,[-0.08147756  0.08147756]
MBE3-260410A-MM ,In/Ga ratio,0.44943820224719117,[-0.06119479  0.06119479]
MBE3-260410A-MM ,V/III ratio,3.120356612184249,[ 0.00106409 -0.00106409]
MBE3-260410B-MM ,T Sub (°C),393.0,[-0.13014933  0.13014933]
MBE3-260410B-MM ,Ripening time (s),112.0,[-0.33130183  0.33130183]
MBE3-260410B-MM ,Bi surfactant,0.0,[ 0.0318576 -0.0318576]
MBE3-260410B-MM ,In/Ga ratio,0.44943820224719117,[-0.05734224  0.05734224]
MBE3-260410B-MM ,V/III ratio,3.120356612184249,[-0.0130642  0.0130642]
MBE3-260413A-MM,T Sub (°C),420.0,[ 0.37414024 -0.37414024]
MBE3-260413A-MM,Ripening time (s),112.0,[-0.15823147  0.15823147]
MBE3-260413A-MM,Bi surfactant,0.0,[ 0.10018351 -0.10018351]
MBE3-260413A-MM,In/Ga ratio,0.44943820224719117,[ 0.01891967 -0.01891967]
MBE3-260413A-MM,V/III ratio,2.905494505494505,[ 0.16498804 -0.16498804]
MBE3-260414A-MM ,T Sub (°C),380.0,[-0.09629014  0.09629014]
MBE3-260414A-MM ,Ripening time (s),112.0,[-0.35613804  0.35613804]
MBE3-260414A-MM ,Bi surfactant,0.0,[ 0.02882269 -0.02882269]
MBE3-260414A-MM ,In/Ga ratio,0.25242718446601947,[-0.08421203  0.08421203]
MBE3-260414A-MM ,V/III ratio,2.419482785974933,[ 0.00781751 -0.00781751]
MBE3-260511A-MM,T Sub (°C),393.0,[-0.04145861  0.04145861]
MBE3-260511A-MM,Ripening time (s),0.0,[ 0.34761893 -0.34761893]
MBE3-260511A-MM,Bi surfactant,0.0,[ 0.06720629 -0.06720629]
MBE3-260511A-MM,In/Ga ratio,0.44943820224719117,[-0.01025812  0.01025812]
MBE3-260511A-MM,V/III ratio,2.8,[ 0.13689151 -0.13689151]
MBE3-260512A-MM,T Sub (°C),393.0,[-0.09093595  0.09093595]
MBE3-260512A-MM,Ripening time (s),112.0,[-0.27828232  0.27828232]
MBE3-260512A-MM,Bi surfactant,1.0,[-0.10181227  0.10181227]
MBE3-260512A-MM,In/Ga ratio,0.44943820224719117,[-0.06175048  0.06175048]
MBE3-260512A-MM,V/III ratio,2.79,[ 0.03278102 -0.03278102]
MBE3-260527A-MM,T Sub (°C),393.0,[-0.08843608  0.08843608]
MBE3-260527A-MM,Ripening time (s),112.0,[-0.28065137  0.28065137]
MBE3-260527A-MM,Bi surfactant,1.0,[-0.08395037  0.08395037]
MBE3-260527A-MM,In/Ga ratio,0.44943820224719117,[-0.06180216  0.06180216]
MBE3-260527A-MM,V/III ratio,2.59,[ 0.01483997 -0.01483997]
MBE3-260527B-MM,T Sub (°C),421.0,[ 0.17360029 -0.17360029]
MBE3-260527B-MM,Ripening time (s),24.0,[ 0.17445849 -0.17445849]
MBE3-260527B-MM,Bi surfactant,1.0,[-0.07342873  0.07342873]
MBE3-260527B-MM,In/Ga ratio,1.1354933726067746,[ 0.19773404 -0.19773404]
MBE3-260527B-MM,V/III ratio,3.31,[ 0.02763591 -0.02763591]
MBE3-260528C-MM,T Sub (°C),402.0,[-0.01693608  0.01693608]
MBE3-260528C-MM,Ripening time (s),72.0,[-0.14179325  0.14179325]
MBE3-260528C-MM,Bi surfactant,1.0,[-0.1882303  0.1882303]
MBE3-260528C-MM,In/Ga ratio,0.3205317577548006,[-0.08098497  0.08098497]
MBE3-260528C-MM,V/III ratio,3.42,[-0.0720554  0.0720554]
