label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
111,4.0,34,186,37,188,2.8284271247461903,1.7320508075688772,0.7905694150420949,4.621320343559642,1.0,0.00152587890625,1525.87890625,44.07731121466846,55.24271728019903,33.829117335329634,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,92
112,6.0,35,28,41,29,6.831300510639732,0.0,1.0,4.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,133.42383809843227,0.0,6,1,117.1875,19.53125,117.1875,19.53125,6.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,29
113,4.0,35,54,39,55,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,93
120,4.0,37,32,39,34,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,94
124,4.0,38,234,40,236,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,95
126,4.0,39,100,42,102,3.23606797749979,1.2360679774997898,0.9241763718304448,4.414213562373095,1.0,0.00152587890625,1525.87890625,44.07731121466846,63.20445268554277,24.14195268554277,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,96
127,10.0,39,179,49,180,11.489125293076057,0.0,1.0,8.0,1.0,0.003814697265625,3814.697265625,69.69234828721763,224.39697838039174,0.0,10,1,195.3125,19.53125,195.3125,19.53125,10.0,0.005385029617662897,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.011834319526627219,0.000152587890625,4
151,4.0,47,68,50,70,3.4641016151377544,1.4142135623730951,0.9128709291752769,3.2071067811865475,0.8,0.00152587890625,1525.87890625,44.07731121466846,67.65823467065927,27.621358640099515,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,97
153,4.0,48,20,51,22,3.4641016151377544,1.4142135623730951,0.9128709291752769,3.2071067811865475,0.8,0.00152587890625,1525.87890625,44.07731121466846,67.65823467065927,27.621358640099515,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,98
156,4.0,49,138,52,140,3.23606797749979,1.2360679774997898,0.9241763718304448,4.414213562373095,1.0,0.00152587890625,1525.87890625,44.07731121466846,63.20445268554277,24.14195268554277,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,99
170,4.0,54,130,56,132,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,100
173,6.0,54,218,60,219,6.831300510639732,0.0,1.0,4.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,133.42383809843227,0.0,6,1,117.1875,19.53125,117.1875,19.53125,6.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,30
174,6.0,55,53,59,55,4.363338213437162,1.65500979239906,0.9252741613028527,5.0,0.8571428571428571,0.002288818359375,2288.818359375,53.983460854896165,85.22144948119457,32.32441000779414,4,2,78.125,39.0625,78.125,39.0625,2.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,31
175,5.0,55,82,60,83,5.656854249492381,0.0,1.0,3.0,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,110.48543456039806,0.0,5,1,97.65625,19.53125,97.65625,19.53125,5.0,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,56
177,7.0,55,161,59,164,5.044815499854965,1.8123273572878904,0.9332430861364037,7.207106781186548,0.7777777777777778,0.0026702880859375,2670.2880859375,58.30880196720553,98.53155273154229,35.39701869702911,4,3,78.125,58.59375,78.125,58.59375,1.3333333333333333,0.003769520732364028,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.008284023668639054,0.0001068115234375,18
182,6.0,57,102,60,104,3.265986323710904,2.0,0.7905694150420949,6.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,63.7887953849786,39.0625,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,32
186,4.0,58,65,62,66,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,101
189,4.0,58,116,61,118,2.8284271247461903,1.7320508075688772,0.7905694150420949,4.621320343559642,1.0,0.00152587890625,1525.87890625,44.07731121466846,55.24271728019903,33.829117335329634,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,102
193,10.0,59,45,63,48,3.9191835884530852,3.0983866769659336,0.6123724356957946,8.82842712474619,1.0,0.003814697265625,3814.697265625,69.69234828721763,76.54655446197432,60.51536478449089,4,3,78.125,58.59375,78.125,58.59375,1.3333333333333333,0.005385029617662897,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.011834319526627219,0.000152587890625,5
212,4.0,64,129,68,130,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,103
218,5.0,65,246,69,248,4.743365517193277,1.3492529674978493,0.9586907114045357,4.207106781186548,0.8333333333333334,0.0019073486328125,1907.3486328125,49.27993207070625,92.6438577576812,26.352597021442367,4,2,78.125,39.0625,78.125,39.0625,2.0,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,57
223,4.0,69,61,73,62,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,104
234,7.0,74,21,79,23,5.672452304781605,1.5606183863895253,0.9614092233077123,6.0,0.875,0.0026702880859375,2670.2880859375,58.30880196720553,110.79008407776573,30.480827859170418,5,2,97.65625,39.0625,97.65625,39.0625,2.5,0.003769520732364028,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.008284023668639054,0.0001068115234375,19
235,7.0,74,133,79,135,5.672452304781605,1.5606183863895253,0.9614092233077123,6.0,0.875,0.0026702880859375,2670.2880859375,58.30880196720553,110.79008407776573,30.480827859170418,5,2,97.65625,39.0625,97.65625,39.0625,2.5,0.003769520732364028,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.008284023668639054,0.0001068115234375,20
237,5.0,74,236,77,238,3.098386676965933,1.7888543819998317,0.816496580927726,5.207106781186548,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,60.515364784490885,34.938562148434215,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,58
242,7.0,76,84,83,85,8.0,0.0,1.0,5.0,1.0,0.0026702880859375,2670.2880859375,58.30880196720553,156.25,0.0,7,1,136.71875,19.53125,136.71875,19.53125,7.0,0.003769520732364028,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.008284023668639054,0.0001068115234375,21
257,4.0,82,68,85,70,3.23606797749979,1.2360679774997898,0.9241763718304448,4.414213562373095,1.0,0.00152587890625,1525.87890625,44.07731121466846,63.20445268554277,24.14195268554277,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,105
262,6.0,83,122,87,124,3.9999999999999996,1.632993161855452,0.9128709291752768,6.414213562373095,1.0,0.002288818359375,2288.818359375,53.983460854896165,78.12499999999999,31.8943976924893,4,2,78.125,39.0625,78.125,39.0625,2.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,33
264,6.0,84,144,87,147,3.0550504633038935,2.6666666666666665,0.487950036474267,6.414213562373095,0.8571428571428571,0.002288818359375,2288.818359375,53.983460854896165,59.66895436140417,52.08333333333333,3,3,58.59375,58.59375,58.59375,58.59375,1.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,34
269,5.0,85,254,88,256,3.098386676965933,1.7888543819998317,0.816496580927726,5.207106781186548,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,60.515364784490885,34.938562148434215,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,59
271,15.0,86,58,93,61,8.307329121353666,2.378013779643844,0.958153497335433,14.207106781186548,0.8333333333333334,0.0057220458984375,5722.0458984375,85.35534614000618,162.2525219014388,46.44558163366882,7,3,136.71875,58.59375,136.71875,58.59375,2.3333333333333335,0.008077544426494346,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.01775147928994083,0.0002288818359375,2
274,6.0,87,46,90,48,3.265986323710904,2.0,0.7905694150420949,6.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,63.7887953849786,39.0625,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,35
279,6.0,88,211,94,212,6.831300510639732,0.0,1.0,4.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,133.42383809843227,0.0,6,1,117.1875,19.53125,117.1875,19.53125,6.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,36
283,10.0,90,0,93,4,4.556067155400173,2.946566149857113,0.7627151441256722,8.82842712474619,0.9090909090909091,0.003814697265625,3814.697265625,69.69234828721763,88.98568662890963,57.55012011439674,3,4,58.59375,78.125,78.125,58.59375,1.3333333333333333,0.005385029617662897,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.011834319526627219,0.000152587890625,6
284,24.0,90,20,95,29,8.940540488402181,3.95250443779597,0.8969717506509871,19.035533905932738,0.75,0.0091552734375,9155.2734375,107.96692170979233,174.6199314141051,77.19735230070253,5,9,97.65625,175.78125,175.78125,97.65625,1.8,0.012924071082390954,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.028402366863905324,0.0003662109375,1
285,4.0,90,30,93,32,3.4641016151377544,1.4142135623730951,0.9128709291752769,3.2071067811865475,0.8,0.00152587890625,1525.87890625,44.07731121466846,67.65823467065927,27.621358640099515,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,106
286,6.0,90,112,94,114,4.472135954999579,1.8856180831641263,0.9067647005823629,6.414213562373095,0.8571428571428571,0.002288818359375,2288.818359375,53.983460854896165,87.34640537108552,36.828478186799344,4,2,78.125,39.0625,78.125,39.0625,2.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,37
302,4.0,96,136,98,138,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,107
304,4.0,97,17,99,19,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,108
313,6.0,99,193,105,194,6.831300510639732,0.0,1.0,4.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,133.42383809843227,0.0,6,1,117.1875,19.53125,117.1875,19.53125,6.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,38
