Elapsed Time (Seconds)	Peak Intensity (Pixel Intensity)
1.102000e+01	2.785000e+03
1.105200e+01	2.800000e+03
1.108600e+01	2.803000e+03
1.111900e+01	2.756000e+03
1.115200e+01	2.705000e+03
1.118500e+01	2.730000e+03
1.121800e+01	2.730000e+03
1.125200e+01	2.714000e+03
1.128400e+01	2.683000e+03
1.131700e+01	2.644000e+03
1.135100e+01	2.645000e+03
1.138400e+01	2.617000e+03
1.141600e+01	2.584000e+03
1.145000e+01	2.632000e+03
1.148300e+01	2.607000e+03
1.151600e+01	2.587000e+03
1.154900e+01	2.572000e+03
1.158200e+01	2.593000e+03
1.161500e+01	2.543000e+03
1.164800e+01	2.528000e+03
1.168200e+01	2.492000e+03
1.171400e+01	2.524000e+03
1.174800e+01	2.504000e+03
1.178100e+01	2.529000e+03
1.181300e+01	2.536000e+03
1.184700e+01	2.477000e+03
1.188000e+01	2.489000e+03
1.191300e+01	2.420000e+03
1.194600e+01	2.457000e+03
1.197900e+01	2.463000e+03
1.201200e+01	2.425000e+03
1.204600e+01	2.402000e+03
1.207900e+01	2.391000e+03
1.211200e+01	2.410000e+03
1.214500e+01	2.446000e+03
1.217800e+01	2.426000e+03
1.221100e+01	2.387000e+03
1.224400e+01	2.384000e+03
1.227700e+01	2.382000e+03
1.231000e+01	2.363000e+03
1.234300e+01	2.381000e+03
1.237600e+01	2.401000e+03
1.241000e+01	2.398000e+03
1.244300e+01	2.386000e+03
1.247600e+01	2.396000e+03
1.250900e+01	2.343000e+03
1.254200e+01	2.363000e+03
1.257500e+01	2.366000e+03
1.260800e+01	2.337000e+03
1.264200e+01	2.379000e+03
1.267400e+01	2.398000e+03
1.270800e+01	2.404000e+03
1.274000e+01	2.366000e+03
1.277300e+01	2.372000e+03
1.280700e+01	2.321000e+03
1.284000e+01	2.329000e+03
1.287200e+01	2.335000e+03
1.290600e+01	2.365000e+03
1.293900e+01	2.370000e+03
1.297200e+01	2.368000e+03
1.300500e+01	2.387000e+03
1.303800e+01	2.351000e+03
1.307100e+01	2.382000e+03
1.310500e+01	2.380000e+03
1.313700e+01	2.401000e+03
1.317000e+01	2.405000e+03
1.320400e+01	2.421000e+03
1.323700e+01	2.424000e+03
1.326900e+01	2.449000e+03
1.330300e+01	2.448000e+03
1.333600e+01	2.418000e+03
1.336900e+01	2.460000e+03
1.340200e+01	2.479000e+03
1.343500e+01	2.499000e+03
1.346900e+01	2.455000e+03
1.350100e+01	2.462000e+03
1.353500e+01	2.461000e+03
1.356800e+01	2.486000e+03
1.360100e+01	2.512000e+03
1.363400e+01	2.513000e+03
1.366700e+01	2.474000e+03
1.370000e+01	2.535000e+03
1.373300e+01	2.546000e+03
1.376600e+01	2.556000e+03
