 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
49,0.0031,0,0.2299,1.2809,1.8517,0.0876,0.0382,0.0955,0.0407,1.2764,0.7255,0.0899,570,839,12.9946,0.0382,2.3489,0.4257,0.9534
50,0.0059,0,0.2918,0.1079,1.8899,0.1011,0.0652,0.1078,0.0694,3.2407,0.8676,0.1068,48,862,22.249,0.0652,1.552,0.6443,0.9753
51,0.0027,0,0.2021,2.564,1.9146,0.0674,0.0449,0.072,0.0483,179.8196,0.8404,0.0718,1141,866,20.1363,0.0449,1.4918,0.6703,0.9661
52,0.004,0,0.2463,2.8787,1.9213,0.0854,0.0539,0.0908,0.0555,4.4391,0.8192,0.0904,1282,876,26.5651,0.0535,1.636,0.6112,0.952
53,0.0016,0,0.1492,1.4427,1.991,0.0472,0.036,0.0518,0.039,9.3943,0.8954,0.0555,642,901,31.7595,0.036,1.3304,0.7516,0.9782
54,0.0033,0,0.2291,1.9663,2,0.0787,0.0472,0.085,0.0497,1.7899,0.7945,0.0818,875,896,164.0546,0.0472,1.7109,0.5845,0.9481
55,0.0029,0,0.2037,0.4247,2.027,0.0674,0.0449,0.0736,0.0495,5.0241,0.866,0.0755,189,920,30.3791,0.0449,1.4867,0.6726,0.9826
56,0.0018,0,0.1622,2.7056,2.0494,0.0562,0.0427,0.056,0.0413,4.0534,0.8682,0.0578,1204,922,13.4957,0.0417,1.3552,0.7379,0.9254
57,0.0013,0,0.15,1.4719,2.0517,0.0584,0.0315,0.0577,0.0298,169.9195,0.7526,0.0595,655,918,169.1145,0.0315,1.9393,0.5157,0.9097
58,0.0031,0,0.2233,3.1124,2.0697,0.0764,0.0472,0.0821,0.0478,2.5689,0.7778,0.079,1385,934,14.8265,0.0462,1.7172,0.5823,0.9414
59,0.0024,0,0.1913,2.6517,2.1933,0.0674,0.0427,0.0679,0.0441,6.4571,0.8084,0.0697,1180,992,20.7723,0.0427,1.5396,0.6495,0.9329
60,0.0041,0,0.2484,1.9169,2.2157,0.0809,0.0562,0.0863,0.0604,2.5097,0.8332,0.0906,854,1009,29.7449,0.0562,1.4298,0.6994,0.9586
61,0.0029,0,0.2092,3.1685,2.2427,0.0719,0.0472,0.0769,0.0476,12.6978,0.8247,0.0806,1410,1018,30.1414,0.0468,1.6168,0.6185,0.9571
62,0.0032,0,0.2341,0.6787,2.2517,0.0809,0.0472,0.0864,0.0474,6.4143,0.7375,0.0865,303,1021,24.5672,0.047,1.821,0.5492,0.9416
