#	z_max	r_eq	V_L
3.29278e-09	2.33755e-08	3.14076e-24
4.46735e-09	3.25956e-08	6.22106e-24
3.71903e-09	3.61293e-08	1.00136e-23
2.28918e-09	1.9086e-08	1.29722e-24
2.80461e-09	2.58426e-08	4.35015e-24
3.48162e-09	3.01777e-08	4.33321e-24
4.24008e-09	2.69917e-08	3.74155e-24
4.1466e-09	4.0111e-08	7.31669e-24
3.61955e-09	2.64234e-08	3.40391e-24
3.76669e-09	2.96704e-08	4.69756e-24
3.71815e-09	3.89592e-08	8.79158e-24
3.72654e-09	3.57067e-08	6.38102e-24
3.15936e-09	2.40161e-08	4.17336e-24
2.85931e-09	1.98654e-08	1.27237e-24
3.80383e-09	2.86291e-08	5.31981e-24
3.82307e-09	3.21266e-08	3.61579e-24
4.52983e-09	2.75483e-08	3.35816e-24
2.31102e-09	2.06153e-08	1.66936e-24
3.95519e-09	2.69917e-08	5.61098e-24
3.38449e-09	2.58426e-08	3.57596e-24
3.04014e-09	2.33755e-08	2.49111e-24
3.89096e-09	3.3514e-08	8.38693e-24
4.19505e-09	3.3058e-08	8.28833e-24
3.33828e-09	3.44078e-08	4.22881e-24
3.77751e-09	2.86291e-08	4.11869e-24
3.20649e-09	3.48462e-08	7.32473e-24
3.60993e-09	1.9086e-08	2.12224e-24
3.08257e-09	2.80939e-08	4.45753e-24
4.20295e-09	3.16506e-08	6.47867e-24
4.0188e-09	3.16506e-08	6.45702e-24
3.90628e-09	3.21266e-08	4.97356e-24
3.86423e-09	3.48462e-08	7.54363e-24
3.98868e-09	3.16506e-08	5.364e-24
3.374e-09	2.96704e-08	3.51674e-24
3.66983e-09	2.58426e-08	3.63831e-24
4.09846e-09	2.75483e-08	4.86719e-24
2.58102e-09	2.464e-08	3.0801e-24
5.20334e-09	3.39638e-08	6.76823e-24
2.54251e-09	1.9086e-08	1.2872e-24
3.35105e-09	2.80939e-08	5.34494e-24
3.3769e-09	2.64234e-08	4.05543e-24
3.13653e-09	2.27169e-08	3.15729e-24
3.16526e-09	2.64234e-08	4.47951e-24
2.55748e-09	2.27169e-08	2.47547e-24
3.35165e-09	3.06765e-08	4.99077e-24
