rel. 1/cm	CCD cts
 1.28150E+02	 6.50200E+02
 1.28544E+02	 6.50200E+02
 1.28938E+02	 6.50200E+02
 1.29332E+02	 6.52200E+02
 1.29726E+02	 6.50800E+02
 1.30119E+02	 6.48200E+02
 1.30513E+02	 6.50800E+02
 1.30907E+02	 6.47600E+02
 1.31301E+02	 6.48200E+02
 1.31694E+02	 6.48600E+02
 1.32088E+02	 6.44800E+02
 1.32481E+02	 6.44800E+02
 1.32875E+02	 6.44000E+02
 1.33269E+02	 6.41600E+02
 1.33662E+02	 6.39000E+02
 1.34056E+02	 6.42400E+02
 1.34449E+02	 6.42400E+02
 1.34843E+02	 6.40600E+02
 1.35236E+02	 6.40000E+02
 1.35630E+02	 6.39800E+02
 1.36023E+02	 6.37800E+02
 1.36416E+02	 6.41000E+02
 1.36810E+02	 6.38400E+02
 1.37203E+02	 6.38200E+02
 1.37596E+02	 6.37800E+02
 1.37989E+02	 6.40400E+02
 1.38383E+02	 6.38400E+02
 1.38776E+02	 6.38600E+02
 1.39169E+02	 6.36000E+02
 1.39562E+02	 6.38800E+02
 1.39955E+02	 6.35000E+02
 1.40348E+02	 6.35800E+02
 1.40741E+02	 6.36400E+02
 1.41135E+02	 6.35600E+02
 1.41528E+02	 6.37600E+02
 1.41921E+02	 6.36000E+02
 1.42314E+02	 6.33400E+02
 1.42706E+02	 6.36600E+02
 1.43099E+02	 6.34400E+02
 1.43492E+02	 6.33200E+02
 1.43885E+02	 6.33000E+02
 1.44278E+02	 6.38200E+02
 1.44671E+02	 6.33800E+02
 1.45064E+02	 6.36200E+02
 1.45456E+02	 6.36000E+02
 1.45849E+02	 6.33400E+02
 1.46242E+02	 6.37000E+02
 1.46634E+02	 6.34400E+02
 1.47027E+02	 6.37400E+02
 1.47420E+02	 6.36600E+02
 1.47812E+02	 6.39400E+02
 1.48205E+02	 6.36200E+02
 1.48597E+02	 6.34400E+02
 1.48990E+02	 6.35000E+02
 1.49382E+02	 6.38000E+02
 1.49775E+02	 6.37200E+02
 1.50167E+02	 6.42400E+02
 1.50560E+02	 6.39400E+02
 1.50952E+02	 6.41800E+02
 1.51344E+02	 6.39600E+02
 1.51737E+02	 6.42400E+02
 1.52129E+02	 6.41200E+02
 1.52521E+02	 6.40800E+02
 1.52914E+02	 6.42000E+02
 1.53306E+02	 6.44400E+02
 1.53698E+02	 6.42200E+02
 1.54090E+02	 6.43600E+02
 1.54482E+02	 6.41800E+02
 1.54874E+02	 6.43200E+02
 1.55267E+02	 6.40800E+02
 1.55659E+02	 6.38600E+02
 1.56051E+02	 6.40800E+02
 1.56443E+02	 6.40600E+02
 1.56835E+02	 6.37400E+02
 1.57227E+02	 6.37000E+02
 1.57619E+02	 6.38200E+02
 1.58010E+02	 6.36400E+02
 1.58402E+02	 6.34800E+02
 1.58794E+02	 6.37000E+02
 1.59186E+02	 6.35000E+02
 1.59578E+02	 6.35800E+02
 1.59970E+02	 6.36600E+02
 1.60361E+02	 6.35600E+02
 1.60753E+02	 6.35800E+02
 1.61145E+02	 6.32200E+02
 1.61536E+02	 6.35400E+02
 1.61928E+02	 6.34400E+02
 1.62320E+02	 6.34200E+02
 1.62711E+02	 6.30400E+02
 1.63103E+02	 6.32400E+02
 1.63494E+02	 6.30400E+02
 1.63886E+02	 6.34000E+02
 1.64277E+02	 6.35600E+02
 1.64669E+02	 6.31600E+02
 1.65060E+02	 6.30400E+02
 1.65452E+02	 6.30600E+02
 1.65843E+02	 6.31000E+02
 1.66235E+02	 6.32400E+02
 1.66626E+02	 6.31400E+02
 1.67017E+02	 6.29600E+02
 1.67408E+02	 6.32400E+02
 1.67800E+02	 6.33000E+02
 1.68191E+02	 6.31600E+02
 1.68582E+02	 6.32200E+02
 1.68973E+02	 6.33200E+02
 1.69364E+02	 6.30200E+02
 1.69756E+02	 6.29800E+02
 1.70147E+02	 6.29400E+02
 1.70538E+02	 6.31000E+02
 1.70929E+02	 6.30200E+02
 1.71320E+02	 6.30000E+02
 1.71711E+02	 6.30400E+02
 1.72102E+02	 6.30600E+02
 1.72493E+02	 6.29400E+02
 1.72884E+02	 6.29000E+02
 1.73274E+02	 6.30800E+02
 1.73665E+02	 6.28400E+02
 1.74056E+02	 6.30800E+02
 1.74447E+02	 6.29200E+02
 1.74838E+02	 6.30400E+02
 1.75229E+02	 6.30600E+02
 1.75619E+02	 6.27400E+02
 1.76010E+02	 6.31400E+02
 1.76401E+02	 6.29800E+02
 1.76791E+02	 6.32800E+02
 1.77182E+02	 6.30400E+02
 1.77572E+02	 6.32400E+02
 1.77963E+02	 6.33400E+02
 1.78354E+02	 6.32800E+02
 1.78744E+02	 6.30000E+02
 1.79135E+02	 6.32200E+02
 1.79525E+02	 6.34000E+02
 1.79916E+02	 6.33000E+02
 1.80306E+02	 6.33200E+02
 1.80696E+02	 6.36600E+02
 1.81087E+02	 6.32400E+02
 1.81477E+02	 6.32600E+02
 1.81867E+02	 6.35200E+02
 1.82258E+02	 6.32400E+02
 1.82648E+02	 6.33800E+02
 1.83038E+02	 6.35200E+02
 1.83428E+02	 6.36800E+02
 1.83818E+02	 6.31800E+02
 1.84209E+02	 6.35000E+02
 1.84599E+02	 6.34600E+02
 1.84989E+02	 6.34800E+02
 1.85379E+02	 6.34400E+02
 1.85769E+02	 6.37600E+02
 1.86159E+02	 6.36200E+02
 1.86549E+02	 6.34600E+02
 1.86939E+02	 6.37400E+02
 1.87329E+02	 6.33600E+02
 1.87719E+02	 6.35000E+02
 1.88109E+02	 6.33400E+02
 1.88499E+02	 6.32800E+02
 1.88888E+02	 6.34400E+02
 1.89278E+02	 6.36200E+02
 1.89668E+02	 6.33400E+02
 1.90058E+02	 6.35200E+02
 1.90448E+02	 6.33800E+02
 1.90837E+02	 6.31000E+02
 1.91227E+02	 6.32800E+02
 1.91617E+02	 6.34000E+02
 1.92006E+02	 6.31600E+02
 1.92396E+02	 6.29600E+02
 1.92785E+02	 6.30200E+02
 1.93175E+02	 6.30000E+02
 1.93564E+02	 6.27000E+02
 1.93954E+02	 6.29600E+02
 1.94343E+02	 6.29600E+02
 1.94733E+02	 6.27600E+02
 1.95122E+02	 6.27200E+02
 1.95512E+02	 6.27200E+02
 1.95901E+02	 6.26400E+02
 1.96290E+02	 6.27800E+02
 1.96680E+02	 6.23400E+02
 1.97069E+02	 6.28800E+02
 1.97458E+02	 6.25800E+02
 1.97847E+02	 6.26000E+02
 1.98237E+02	 6.24600E+02
 1.98626E+02	 6.26000E+02
 1.99015E+02	 6.25800E+02
 1.99404E+02	 6.25600E+02
 1.99793E+02	 6.25600E+02
 2.00182E+02	 6.25600E+02
 2.00571E+02	 6.28600E+02
 2.00960E+02	 6.25800E+02
 2.01349E+02	 6.26400E+02
 2.01738E+02	 6.26000E+02
 2.02127E+02	 6.24800E+02
 2.02516E+02	 6.25200E+02
 2.02905E+02	 6.24600E+02
 2.03294E+02	 6.23000E+02
 2.03683E+02	 6.22600E+02
 2.04072E+02	 6.24400E+02
 2.04460E+02	 6.22600E+02
 2.04849E+02	 6.23200E+02
 2.05238E+02	 6.23600E+02
 2.05627E+02	 6.22400E+02
 2.06015E+02	 6.24200E+02
 2.06404E+02	 6.22600E+02
 2.06793E+02	 6.24400E+02
 2.07181E+02	 6.23400E+02
 2.07570E+02	 6.22200E+02
 2.07958E+02	 6.25200E+02
 2.08347E+02	 6.23400E+02
 2.08735E+02	 6.23200E+02
 2.09124E+02	 6.29600E+02
 2.09512E+02	 6.23400E+02
 2.09901E+02	 6.25800E+02
 2.10289E+02	 6.22800E+02
 2.10678E+02	 6.24200E+02
 2.11066E+02	 6.24800E+02
 2.11454E+02	 6.23600E+02
 2.11843E+02	 6.23200E+02
 2.12231E+02	 6.24200E+02
 2.12619E+02	 6.22200E+02
 2.13007E+02	 6.22400E+02
 2.13396E+02	 6.21600E+02
 2.13784E+02	 6.21200E+02
 2.14172E+02	 6.21000E+02
 2.14560E+02	 6.21400E+02
 2.14948E+02	 6.24400E+02
 2.15336E+02	 6.22800E+02
 2.15724E+02	 6.22000E+02
 2.16112E+02	 6.20400E+02
 2.16500E+02	 6.21200E+02
 2.16888E+02	 6.19800E+02
 2.17276E+02	 6.24200E+02
 2.17664E+02	 6.23000E+02
 2.18052E+02	 6.21200E+02
 2.18440E+02	 6.21600E+02
 2.18827E+02	 6.20800E+02
 2.19215E+02	 6.20600E+02
 2.19603E+02	 6.21800E+02
 2.19991E+02	 6.22400E+02
 2.20379E+02	 6.21400E+02
 2.20766E+02	 6.20400E+02
 2.21154E+02	 6.21000E+02
 2.21542E+02	 6.20400E+02
 2.21929E+02	 6.22600E+02
 2.22317E+02	 6.19200E+02
 2.22704E+02	 6.20800E+02
 2.23092E+02	 6.21800E+02
 2.23479E+02	 6.19400E+02
 2.23867E+02	 6.21400E+02
 2.24254E+02	 6.19000E+02
 2.24642E+02	 6.19400E+02
 2.25029E+02	 6.21600E+02
 2.25417E+02	 6.20800E+02
 2.25804E+02	 6.20800E+02
 2.26191E+02	 6.21000E+02
 2.26579E+02	 6.21000E+02
 2.26966E+02	 6.19200E+02
 2.27353E+02	 6.20000E+02
 2.27740E+02	 6.18800E+02
 2.28128E+02	 6.19200E+02
 2.28515E+02	 6.19800E+02
 2.28902E+02	 6.21600E+02
 2.29289E+02	 6.21000E+02
 2.29676E+02	 6.21000E+02
 2.30063E+02	 6.20400E+02
 2.30450E+02	 6.18400E+02
 2.30837E+02	 6.20000E+02
 2.31224E+02	 6.17600E+02
 2.31611E+02	 6.21600E+02
 2.31998E+02	 6.20400E+02
 2.32385E+02	 6.20400E+02
 2.32772E+02	 6.19800E+02
 2.33159E+02	 6.20000E+02
 2.33546E+02	 6.21200E+02
