#	z_max	r_eq	V_L
1.0134e-08	5.67255e-08	6.63576e-23
1.1664e-08	4.15971e-08	2.82053e-23
3.27464e-09	1.10193e-08	6.7311e-25
7.12792e-09	4.08608e-08	1.66667e-23
5.61324e-09	2.91544e-08	6.99589e-24
1.10534e-08	4.98921e-08	4.31375e-23
2.3438e-09	1.34959e-08	5.37895e-25
1.43389e-09	1.82735e-08	1.64067e-25
3.48232e-09	1.82735e-08	1.5981e-24
3.85468e-09	2.06153e-08	1.88006e-24
1.55654e-08	5.75226e-08	8.09186e-23
1.68994e-08	4.08608e-08	2.71797e-23
3.04375e-09	1.98654e-08	1.9812e-24
3.2536e-09	2.06153e-08	2.34577e-24
6.73557e-09	4.23205e-08	1.9098e-23
1.06303e-08	3.89592e-08	1.87842e-23
2.91145e-09	1.55837e-08	1.08985e-24
4.50329e-09	3.97308e-08	1.26723e-23
2.55702e-09	1.6529e-08	8.49015e-25
4.2228e-09	3.85676e-08	1.13295e-23
3.52718e-09	2.464e-08	3.87694e-24
3.90084e-09	2.80939e-08	5.13466e-24
3.7668e-09	2.52485e-08	5.13417e-24
4.45305e-09	4.0111e-08	1.20479e-23
4.5796e-09	3.3514e-08	8.09152e-24
3.40024e-09	2.58426e-08	4.92195e-24
2.75956e-09	1.34959e-08	7.57759e-25
4.84266e-09	3.3058e-08	7.8606e-24
3.29339e-09	2.69917e-08	5.03845e-24
4.27753e-09	2.69917e-08	4.84268e-24
5.39608e-09	4.30319e-08	1.92679e-23
1.87547e-08	4.9587e-08	5.54461e-23
2.7368e-09	1.232e-08	6.1002e-25
5.38931e-09	4.0111e-08	1.6157e-23
5.20846e-09	3.3514e-08	9.70441e-24
3.84703e-09	2.20387e-08	3.39613e-24
4.52221e-09	3.06765e-08	6.32459e-24
3.34804e-09	1.98654e-08	2.02077e-24
4.27082e-09	3.77724e-08	1.09244e-23
1.41178e-08	3.97308e-08	2.20229e-23
9.42591e-09	3.44078e-08	1.32651e-23
3.9629e-09	3.01777e-08	6.19941e-24
3.44776e-09	1.82735e-08	1.44063e-24
1.32523e-08	3.3058e-08	1.2216e-23
