 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
108,0.0016,0,0.1521,1.1753,0.6090,0.0382,0.0517,0.0544,0.0364,70.3733,0.8445,0.0580,525,293,54.4623,0.0372,1.4954,0.6687,0.9291
109,0.0005,0,0.0844,1.3303,0.6090,0.0225,0.0270,0.0278,0.0238,77.0494,0.9177,0.0312,594,283,59.7436,0.0225,1.1679,0.8562,0.9406
110,0.0009,0,0.1259,2.5034,0.6292,0.0360,0.0337,0.0359,0.0337,38.7351,0.7522,0.0445,1115,294,45.0000,0.0337,1.0634,0.9404,0.8931
111,0.0005,0,0.0855,2.1618,0.6337,0.0315,0.0225,0.0306,0.0212,175.1946,0.8770,0.0327,962,285,164.0546,0.0223,1.4413,0.6938,0.8860
112,0.0008,0,0.1141,1.8584,0.6360,0.0360,0.0360,0.0340,0.0291,49.1727,0.7508,0.0384,832,299,69.4440,0.0308,1.1699,0.8548,0.8280
113,0.0007,0,0.0984,1.1011,0.6382,0.0270,0.0315,0.0323,0.0273,73.3617,0.8974,0.0355,492,297,55.3048,0.0270,1.1838,0.8447,0.9320
114,0.0006,0,0.0945,1.4697,0.6427,0.0247,0.0315,0.0317,0.0250,95.0510,0.8745,0.0342,655,286,113.1986,0.0247,1.2682,0.7885,0.9111
115,0.0011,0,0.1276,0.4584,0.6494,0.0315,0.0449,0.0435,0.0309,73.9671,0.8149,0.0476,207,309,70.7100,0.0315,1.4070,0.7108,0.9248
116,0.0009,0,0.1188,1.0157,0.6629,0.0337,0.0382,0.0401,0.0296,67.7793,0.8317,0.0432,454,312,62.1027,0.0317,1.3531,0.7390,0.9002
117,0.0031,0,0.2304,1.9596,0.6697,0.0494,0.0764,0.0837,0.0465,93.5616,0.7244,0.0826,875,332,67.6199,0.0475,1.7981,0.5561,0.9072
118,0.0011,0,0.1259,3.0382,0.6719,0.0360,0.0382,0.0401,0.0361,106.7451,0.9003,0.0446,1354,300,130.9144,0.0360,1.1118,0.8994,0.9317
119,0.0018,0,0.1606,0.5371,0.6742,0.0382,0.0517,0.0552,0.0407,81.5186,0.8614,0.0586,241,323,57.5288,0.0382,1.3560,0.7374,0.9537
120,0.0008,0,0.1080,3.3483,0.6742,0.0360,0.0292,0.0362,0.0289,164.9595,0.8875,0.0402,1490,303,153.4349,0.0292,1.2525,0.7984,0.9235
121,0.0014,0,0.1490,1.0562,0.6764,0.0337,0.0494,0.0512,0.0355,88.5996,0.8094,0.0517,470,321,55.6197,0.0337,1.4426,0.6932,0.9264
122,0.0019,0,0.1727,2.2337,0.6764,0.0360,0.0629,0.0660,0.0360,87.0871,0.7847,0.0647,997,328,69.6769,0.0357,1.8340,0.5453,0.9283
123,0.0005,0,0.0842,2.1461,0.6787,0.0270,0.0270,0.0261,0.0254,116.1939,0.9226,0.0292,955,311,22.6199,0.0261,1.0292,0.9716,0.9075
124,0.0014,0,0.1426,2.6404,0.6876,0.0315,0.0494,0.0524,0.0335,88.2487,0.8520,0.0519,1179,328,72.3499,0.0315,1.5643,0.6392,0.9463
125,0.0014,0,0.1368,1.2045,0.6989,0.0360,0.0449,0.0473,0.0373,81.2434,0.9293,0.0486,537,330,56.3099,0.0360,1.2677,0.7889,0.9530
126,0.0013,0,0.1386,1.8112,0.7079,0.0360,0.0449,0.0474,0.0342,103.6225,0.8319,0.0502,808,315,116.5651,0.0360,1.3866,0.7212,0.9097
127,0.0008,0,0.1053,0.6180,0.7169,0.0292,0.0360,0.0356,0.0283,85.0682,0.8981,0.0384,277,335,69.4440,0.0292,1.2578,0.7950,0.9290
128,0.0009,0,0.1162,1.5281,0.7169,0.0382,0.0337,0.0371,0.0301,39.7478,0.8181,0.0436,681,333,34.5085,0.0334,1.2332,0.8109,0.8855
129,0.0023,0,0.1958,3.2674,0.7169,0.0404,0.0674,0.0736,0.0397,91.6774,0.7535,0.0726,1457,319,111.8014,0.0404,1.8537,0.5395,0.9201
130,0.0008,0,0.1085,2.6989,0.7236,0.0337,0.0337,0.0360,0.0295,129.5141,0.8894,0.0383,1203,323,130.2364,0.0326,1.2183,0.8208,0.8992
131,0.0005,0,0.0881,0.4472,0.7281,0.0202,0.0315,0.0322,0.0208,84.7568,0.8499,0.0332,200,337,61.6992,0.0202,1.5488,0.6456,0.9204
