#	z_max	r_eq	V_L
8.03201e-09	3.97308e-08	1.95682e-23
7.34341e-09	3.3514e-08	1.423e-23
8.31996e-09	2.86291e-08	1.00623e-23
8.37431e-09	4.0111e-08	2.06508e-23
8.08776e-09	4.12305e-08	2.05561e-23
6.81131e-09	2.33755e-08	6.91978e-24
7.82234e-09	4.30319e-08	2.49188e-23
7.2691e-09	2.40161e-08	5.82485e-24
8.24086e-09	4.70746e-08	3.04392e-23
7.57303e-09	2.96704e-08	1.05048e-23
8.01894e-09	4.9587e-08	3.45513e-23
8.5018e-09	3.93469e-08	2.12621e-23
7.69051e-09	3.11674e-08	1.14023e-23
8.59048e-09	3.6547e-08	1.65341e-23
7.91462e-09	4.80321e-08	3.14245e-23
9.63403e-09	4.50985e-08	2.9062e-23
6.03976e-09	2.64234e-08	7.75343e-24
7.45725e-09	2.69917e-08	8.38837e-24
7.09426e-09	2.80939e-08	9.98676e-24
8.39624e-09	3.85676e-08	1.77828e-23
8.34872e-09	3.61293e-08	1.55737e-23
7.48277e-09	3.3514e-08	1.24183e-23
8.15296e-09	3.01777e-08	1.03371e-23
8.15504e-09	2.80939e-08	9.45883e-24
7.49556e-09	3.39638e-08	1.18359e-23
7.64475e-09	3.57067e-08	1.59196e-23
9.79205e-09	4.04876e-08	2.12426e-23
6.51317e-09	3.69599e-08	1.57367e-23
7.20786e-09	3.52791e-08	1.36718e-23
7.27025e-09	3.11674e-08	1.17119e-23
8.34972e-09	3.25956e-08	1.24173e-23
8.53947e-09	3.48462e-08	1.42805e-23
7.43753e-09	3.61293e-08	1.59316e-23
6.83252e-09	3.6547e-08	1.3003e-23
6.87668e-09	3.6547e-08	1.39062e-23
7.34403e-09	4.64253e-08	2.90168e-23
8.41102e-09	3.48462e-08	1.52011e-23
8.40381e-09	3.6547e-08	1.55145e-23
9.20451e-09	4.8971e-08	3.113e-23
7.18303e-09	2.75483e-08	8.47749e-24
8.99533e-09	3.52791e-08	1.72249e-23
7.34222e-09	2.80939e-08	9.09543e-24
7.62711e-09	2.91544e-08	8.09096e-24
6.52416e-09	2.27169e-08	5.97196e-24
8.05685e-09	4.15971e-08	2.20728e-23
7.74279e-09	2.52485e-08	7.26323e-24
8.40357e-09	3.89592e-08	1.83436e-23
8.73689e-09	3.61293e-08	1.69019e-23
8.48436e-09	4.57667e-08	2.83916e-23
1.02598e-08	4.12305e-08	2.2763e-23
8.28727e-09	3.06765e-08	1.0321e-23
6.97836e-09	3.61293e-08	1.47991e-23
7.77359e-09	3.57067e-08	1.45351e-23
8.24432e-09	3.6547e-08	1.55408e-23
8.5338e-09	3.3514e-08	1.21373e-23
1.02656e-08	3.69599e-08	1.83194e-23
9.08781e-09	3.77724e-08	1.81565e-23
8.21172e-09	3.61293e-08	1.50685e-23
7.73387e-09	2.80939e-08	6.91211e-24
7.4147e-09	2.75483e-08	6.97623e-24
1.06064e-08	4.80321e-08	3.56479e-23
8.24112e-09	3.39638e-08	1.22528e-23
9.266e-09	4.0111e-08	1.87941e-23
6.70941e-09	3.11674e-08	1.06824e-23
8.64828e-09	4.04876e-08	2.27621e-23
9.88315e-09	4.50985e-08	3.30141e-23
8.58959e-09	3.85676e-08	1.83196e-23
7.85375e-09	3.57067e-08	1.64925e-23
7.54594e-09	2.69917e-08	8.65838e-24
9.13278e-09	3.89592e-08	2.01379e-23
8.85304e-09	3.81721e-08	1.8501e-23
8.44204e-09	2.86291e-08	5.48952e-24
6.98297e-09	3.39638e-08	1.38798e-23
7.75099e-09	3.11674e-08	7.32252e-24
6.85379e-09	2.75483e-08	7.9886e-24
8.99362e-09	3.57067e-08	1.61287e-23
9.23874e-09	3.89592e-08	2.0248e-23
8.30327e-09	3.3058e-08	1.33415e-23
9.26821e-09	4.19604e-08	2.47712e-23
7.47656e-09	3.06765e-08	1.24018e-23
8.01921e-09	3.11674e-08	1.1383e-23
6.69504e-09	2.64234e-08	7.79186e-24
8.52785e-09	4.30319e-08	2.4372e-23
7.47168e-09	3.73684e-08	1.72111e-23
1.07964e-08	4.0111e-08	2.21213e-23
8.09815e-09	3.93469e-08	1.74788e-23
8.54356e-09	3.97308e-08	1.77019e-23
7.63358e-09	4.64253e-08	2.7952e-23
6.76388e-09	3.44078e-08	1.2909e-23
7.53047e-09	3.25956e-08	1.11146e-23
6.70634e-09	3.69599e-08	1.4212e-23
8.3715e-09	3.25956e-08	9.96313e-24
9.81389e-09	3.77724e-08	1.9296e-23
