Sample,Feature,Feature Value,SHAP Value
MBE3-260408A-MM ,T Sub (°C),393.0,[ 0.02076177  0.00090457 -0.02166634]
MBE3-260408A-MM ,Ripening time (s),112.0,[ 0.30140578  0.01443292 -0.3158387 ]
MBE3-260408A-MM ,In/Ga ratio,0.17808219178082196,[ 0.21571046 -0.22609007  0.01037962]
MBE3-260408A-MM ,V/III ratio,2.57029702970297,[ 0.04283512 -0.06488127  0.02204616]
MBE3-260410A-MM ,Equivalent thickness (ML),2.45,[ 0.08590248 -0.06129021 -0.02461226]
MBE3-260410A-MM ,T Sub (°C),393.0,[ 0.02233286 -0.00290583 -0.01942704]
MBE3-260410A-MM ,Ripening time (s),112.0,[ 0.28157614  0.00754163 -0.28911777]
MBE3-260410A-MM ,In/Ga ratio,0.44943820224719117,[ 0.19302901 -0.19536613  0.00233712]
MBE3-260410A-MM ,V/III ratio,3.120356612184249,[ 0.08382617 -0.08131279 -0.00251338]
MBE3-260410B-MM ,Equivalent thickness (ML),2.45,[ 0.08590248 -0.06129021 -0.02461226]
MBE3-260410B-MM ,T Sub (°C),393.0,[ 0.02233286 -0.00290583 -0.01942704]
MBE3-260410B-MM ,Ripening time (s),112.0,[ 0.28157614  0.00754163 -0.28911777]
MBE3-260410B-MM ,In/Ga ratio,0.44943820224719117,[ 0.19302901 -0.19536613  0.00233712]
MBE3-260410B-MM ,V/III ratio,3.120356612184249,[ 0.08382617 -0.08131279 -0.00251338]
MBE3-260413A-MM,Equivalent thickness (ML),2.45,[ 0.08820223 -0.05789347 -0.03030875]
MBE3-260413A-MM,T Sub (°C),420.0,[ 0.05743241 -0.04053557 -0.01689685]
MBE3-260413A-MM,Ripening time (s),112.0,[ 0.2889759   0.01087332 -0.29984922]
MBE3-260413A-MM,In/Ga ratio,0.44943820224719117,[ 0.18363816 -0.17803522 -0.00560294]
MBE3-260413A-MM,V/III ratio,2.905494505494505,[ 0.04841796 -0.06774239  0.01932443]
MBE3-260413B-MM,Equivalent thickness (ML),2.45,[ 0.02293356  0.00946248 -0.03239604]
MBE3-260413B-MM,T Sub (°C),393.0,[-0.02497658  0.04815695 -0.02318037]
MBE3-260413B-MM,Ripening time (s),112.0,[ 0.08472788  0.20459131 -0.28931919]
MBE3-260413B-MM,In/Ga ratio,0.8169014084507046,[-0.31972358  0.3298876  -0.01016402]
MBE3-260413B-MM,V/III ratio,2.668078348332451,[-0.0962946   0.07456832  0.02172628]
MBE3-260414A-MM ,Equivalent thickness (ML),2.45,[ 0.096697   -0.06977462 -0.02692238]
MBE3-260414A-MM ,T Sub (°C),380.0,[ 0.01480577  0.01446743 -0.0292732 ]
MBE3-260414A-MM ,Ripening time (s),112.0,[ 0.30101313  0.00699505 -0.30800819]
MBE3-260414A-MM ,In/Ga ratio,0.25242718446601947,[ 0.20564905 -0.21222714  0.00657808]
MBE3-260414A-MM ,V/III ratio,2.419482785974933,[ 0.04850171 -0.07279405  0.02429234]
MBE3-260511A-MM,Equivalent thickness (ML),2.45,[-0.00195661 -0.0386267   0.04058331]
MBE3-260511A-MM,T Sub (°C),393.0,[-0.01626556 -0.00144239  0.01770796]
MBE3-260511A-MM,Ripening time (s),0.0,[-0.30480731 -0.09069267  0.39549998]
MBE3-260511A-MM,In/Ga ratio,0.44943820224719117,[ 0.04687207 -0.1345717   0.08769963]
MBE3-260511A-MM,V/III ratio,2.8,[-0.05717592 -0.06799987  0.12517579]
MBE3-260512A-MM,Equivalent thickness (ML),2.45,[ 0.08523359 -0.0605126  -0.02472099]
MBE3-260512A-MM,T Sub (°C),393.0,[ 0.02114396 -0.00134553 -0.01979843]
MBE3-260512A-MM,Ripening time (s),112.0,[ 0.30352615  0.0137956  -0.31732176]
MBE3-260512A-MM,In/Ga ratio,0.44943820224719117,[ 0.21159751 -0.21534257  0.00374506]
MBE3-260512A-MM,V/III ratio,2.79,[ 0.04516545 -0.06992824  0.02476279]
MBE3-260527A-MM,Equivalent thickness (ML),2.45,[ 0.08589783 -0.06064088 -0.02525695]
MBE3-260527A-MM,T Sub (°C),393.0,[ 0.02081163 -0.00087787 -0.01993376]
MBE3-260527A-MM,Ripening time (s),112.0,[ 0.3002945   0.01271095 -0.31300545]
MBE3-260527A-MM,In/Ga ratio,0.44943820224719117,[ 0.21228131 -0.21508104  0.00279973]
MBE3-260527A-MM,V/III ratio,2.59,[ 0.0473814 -0.0694445  0.0220631]
MBE3-260527B-MM,Equivalent thickness (ML),2.86,[ 0.22426738 -0.0982977  -0.12596967]
MBE3-260527B-MM,T Sub (°C),421.0,[ 0.14907505 -0.113757   -0.03531805]
MBE3-260527B-MM,Ripening time (s),24.0,[ 0.11378534 -0.06375412 -0.05003122]
MBE3-260527B-MM,In/Ga ratio,1.1354933726067746,[ 0.03461809  0.04548898 -0.08010707]
MBE3-260527B-MM,V/III ratio,3.31,[ 0.14492081 -0.10301349 -0.04190732]
MBE3-260528A-MM,Equivalent thickness (ML),1.69,[-0.13026924  0.15083406 -0.02056482]
MBE3-260528A-MM,T Sub (°C),376.0,[-0.05536282  0.08686437 -0.03150155]
MBE3-260528A-MM,Ripening time (s),112.0,[ 0.05198532  0.15845485 -0.21044017]
MBE3-260528A-MM,In/Ga ratio,0.9690265486725663,[-0.15228995  0.18875122 -0.03646127]
MBE3-260528A-MM,V/III ratio,4.02,[-0.04739664  0.08176217 -0.03436553]
MBE3-260528B-MM,Equivalent thickness (ML),1.68,[-0.10814618  0.14316599 -0.03501981]
MBE3-260528B-MM,T Sub (°C),424.0,[ 0.02675432 -0.01467373 -0.01208059]
MBE3-260528B-MM,Ripening time (s),30.0,[-0.04895744  0.11899044 -0.070033  ]
MBE3-260528B-MM,In/Ga ratio,7.245283018867928,[-0.20928147  0.43185269 -0.22257122]
MBE3-260528B-MM,V/III ratio,3.0,[ 0.00629744 -0.01266873  0.00637129]
MBE3-260528C-MM,Equivalent thickness (ML),1.6,[ 0.03006522  0.0337359  -0.06380111]
MBE3-260528C-MM,T Sub (°C),402.0,[ 0.10170927 -0.07058915 -0.03112012]
MBE3-260528C-MM,Ripening time (s),72.0,[ 0.21648997 -0.0279855  -0.18850447]
MBE3-260528C-MM,In/Ga ratio,0.3205317577548006,[ 0.19764615 -0.18170311 -0.01594304]
MBE3-260528C-MM,V/III ratio,3.42,[ 0.12075606 -0.08679148 -0.03396458]
