 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
87,0.0013,0,0.1304,3.3640,1.1663,0.0404,0.0360,0.0429,0.0372,0.7787,0.9251,0.0455,1497,533,32.9052,0.0360,1.1535,0.8669,0.9520
88,0.0012,0,0.1331,1.8539,1.1843,0.0404,0.0360,0.0435,0.0350,171.7748,0.8494,0.0477,826,527,135.0000,0.0346,1.2423,0.8049,0.9276
89,0.0026,0,0.1894,0.6202,1.2000,0.0562,0.0517,0.0597,0.0553,171.2036,0.9075,0.0655,276,553,30.9638,0.0517,1.0796,0.9263,0.9643
90,0.0024,0,0.1791,1.0787,1.2022,0.0472,0.0562,0.0607,0.0495,80.0891,0.9239,0.0630,483,559,55.1755,0.0472,1.2252,0.8162,0.9669
91,0.0017,0,0.1566,3.2292,1.2270,0.0539,0.0382,0.0569,0.0379,175.3477,0.8666,0.0564,1437,561,23.4986,0.0382,1.5006,0.6664,0.9463
92,0.0011,0,0.1304,0.0022,1.2404,0.0315,0.0404,0.0416,0.0328,89.9334,0.7908,0.0455,1,552,122.9052,0.0315,1.2672,0.7891,0.9138
93,0.0036,0,0.2278,0.6045,1.2539,0.0652,0.0652,0.0706,0.0648,48.6058,0.8697,0.0795,270,584,47.2906,0.0637,1.0892,0.9181,0.9518
94,0.0012,0,0.1304,1.7101,1.2562,0.0427,0.0337,0.0452,0.0328,159.5471,0.8617,0.0486,762,561,146.3099,0.0332,1.3773,0.7261,0.9315
95,0.0020,0,0.1696,3.1393,1.2607,0.0539,0.0427,0.0565,0.0455,169.6311,0.8828,0.0607,1399,562,141.0090,0.0427,1.2418,0.8053,0.9581
96,0.0011,0,0.1241,2.5393,1.3056,0.0360,0.0360,0.0406,0.0345,51.9759,0.8986,0.0449,1130,595,36.8699,0.0360,1.1744,0.8515,0.9561
97,0.0022,0,0.1759,0.4202,1.3371,0.0517,0.0494,0.0542,0.0505,155.1891,0.8735,0.0622,190,596,130.6013,0.0486,1.0721,0.9328,0.9435
98,0.0014,0,0.1376,1.0876,1.3618,0.0360,0.0427,0.0452,0.0389,98.4753,0.9156,0.0499,486,606,125.8377,0.0360,1.1621,0.8605,0.9630
99,0.0023,0,0.1796,2.6292,1.3663,0.0494,0.0562,0.0587,0.0508,92.4928,0.9124,0.0624,1174,608,120.2564,0.0494,1.1560,0.8650,0.9547
100,0.0024,0,0.1802,1.6360,1.3798,0.0517,0.0562,0.0595,0.0505,60.5079,0.9128,0.0639,728,635,39.2894,0.0517,1.1778,0.8490,0.9531
