#	z_max	r_eq	V_L
4.81392e-09	2.06153e-08	2.96635e-24
9.75214e-09	3.52791e-08	1.50093e-23
7.7697e-09	3.39638e-08	1.1619e-23
4.1188e-09	2.64234e-08	5.93144e-24
8.95747e-09	3.48462e-08	1.42846e-23
4.42357e-09	2.64234e-08	5.37424e-24
7.35167e-09	3.25956e-08	1.06836e-23
7.83011e-09	3.3514e-08	8.99087e-24
3.39554e-09	1.34959e-08	9.2374e-25
1.46926e-08	5.77858e-08	6.77172e-23
4.00112e-09	1.34959e-08	8.99896e-25
7.33193e-09	3.06765e-08	9.36165e-24
3.9058e-09	1.232e-08	8.10249e-25
7.57635e-09	3.48462e-08	1.31077e-23
7.96067e-09	2.91544e-08	7.26351e-24
4.78875e-09	3.21266e-08	7.84759e-24
5.08673e-09	2.69917e-08	6.59201e-24
7.92451e-09	3.21266e-08	8.47029e-24
5.38419e-09	2.58426e-08	5.80364e-24
1.45945e-08	3.77724e-08	1.71834e-23
5.60032e-09	3.39638e-08	9.41539e-24
9.12891e-09	3.21266e-08	9.88149e-24
9.38932e-09	3.52791e-08	1.23546e-23
4.21404e-09	1.55837e-08	1.59009e-24
9.88351e-09	3.3058e-08	1.23293e-23
4.38817e-09	2.80939e-08	6.68441e-24
3.36898e-09	1.74231e-08	9.19615e-25
2.22303e-08	4.73959e-08	3.87944e-23
8.8484e-09	4.04876e-08	2.02695e-23
4.17854e-09	2.58426e-08	5.39719e-24
4.05781e-09	1.9086e-08	2.82851e-24
6.39396e-09	3.21266e-08	1.0221e-23
4.96453e-09	1.9086e-08	2.70237e-24
1.05202e-08	3.57067e-08	1.39347e-23
5.47779e-09	2.52485e-08	5.96209e-24
1.18233e-08	3.73684e-08	1.69576e-23
1.10695e-08	3.21266e-08	1.03948e-23
2.75585e-09	1.55837e-08	3.15224e-25
5.8787e-09	2.40161e-08	4.60894e-24
3.82228e-09	1.74231e-08	1.00226e-24
6.31037e-09	3.61293e-08	9.70487e-24
4.82199e-09	3.21266e-08	8.48989e-24
3.57148e-09	9.54302e-09	2.05922e-25
3.69351e-09	1.9086e-08	6.82191e-25
4.14474e-09	2.33755e-08	4.62809e-24
4.56773e-09	3.48462e-08	9.72622e-24
1.72163e-08	5.19781e-08	4.2914e-23
4.82057e-09	2.52485e-08	5.29425e-24
8.40961e-09	3.06765e-08	8.1897e-24
5.81406e-09	3.11674e-08	9.36505e-24
5.26729e-09	1.9086e-08	2.33827e-24
4.16834e-09	1.55837e-08	1.21238e-24
1.16216e-08	3.48462e-08	1.38129e-23
6.16472e-09	2.64234e-08	8.18222e-24
4.86635e-09	2.52485e-08	5.19822e-24
5.49313e-09	1.9086e-08	2.6498e-24
1.16839e-08	3.16506e-08	1.17623e-23
5.09008e-09	2.33755e-08	4.47304e-24
7.14376e-09	3.39638e-08	1.0408e-23
1.22766e-08	3.06765e-08	1.08452e-23
1.34992e-08	4.04876e-08	2.23529e-23
5.4902e-09	1.9086e-08	3.55925e-24
7.08556e-09	2.91544e-08	9.04121e-24
8.89469e-09	3.06765e-08	1.02185e-23
4.17506e-09	2.27169e-08	3.8825e-24
6.8257e-09	2.33755e-08	6.61876e-24
3.35269e-09	1.34959e-08	7.62703e-25
1.33732e-08	3.61293e-08	1.58834e-23
8.31534e-09	2.75483e-08	7.39363e-24
5.20269e-09	2.69917e-08	6.48265e-24
4.58597e-09	2.52485e-08	4.55689e-24
9.8434e-09	4.64253e-08	3.17848e-23
7.33735e-09	2.86291e-08	7.40549e-24
4.92136e-09	2.13388e-08	2.95667e-24
6.12105e-09	2.86291e-08	6.35241e-24
5.87795e-09	3.97308e-08	1.60884e-23
5.78214e-09	2.64234e-08	4.41047e-24
6.52241e-09	3.01777e-08	9.25173e-24
5.47465e-09	2.58426e-08	5.76195e-24
5.9688e-09	3.01777e-08	7.96531e-24
5.65583e-09	2.33755e-08	3.76091e-24
4.94423e-09	2.80939e-08	6.66153e-24
5.7112e-09	3.06765e-08	6.61535e-24
5.71793e-09	3.97308e-08	1.21659e-23
4.99825e-09	2.58426e-08	5.97491e-24
7.02686e-09	3.52791e-08	9.16907e-24
5.8543e-09	2.13388e-08	4.11911e-24
5.34643e-09	2.91544e-08	7.25152e-24
9.45167e-09	3.6547e-08	1.29137e-23
5.6384e-09	2.27169e-08	4.23083e-24
4.3499e-09	1.98654e-08	2.06642e-24
3.41005e-09	7.79184e-09	1.3986e-25
3.94397e-09	2.06153e-08	3.02873e-24
7.70684e-09	2.86291e-08	7.46993e-24
2.20251e-08	5.53714e-08	7.46151e-23
4.51562e-09	2.20387e-08	3.11471e-24
1.00024e-08	3.39638e-08	1.0971e-23
3.99291e-09	2.27169e-08	3.75025e-24
3.95e-09	1.55837e-08	1.35364e-24
6.31355e-09	3.11674e-08	9.02939e-24
6.13025e-09	2.80939e-08	7.21379e-24
1.41663e-08	5.13907e-08	4.33352e-23
6.01297e-09	2.58426e-08	6.65869e-24
4.15445e-09	2.13388e-08	2.97746e-24
4.08497e-09	1.55837e-08	1.5082e-24
7.3421e-09	2.80939e-08	6.96258e-24
6.99881e-09	2.91544e-08	7.76586e-24
8.27356e-09	3.3514e-08	1.14264e-23
5.54525e-09	2.86291e-08	6.96758e-24
8.9284e-09	2.52485e-08	6.17147e-24
4.55383e-09	3.3514e-08	8.00403e-24
9.1338e-09	3.39638e-08	1.33391e-23
3.76106e-09	1.45772e-08	9.65691e-25
1.0755e-08	3.97308e-08	1.84997e-23
5.37405e-09	3.25956e-08	7.46359e-24
4.79441e-09	2.06153e-08	3.35275e-24
6.3071e-09	2.75483e-08	5.94933e-24
1.26484e-08	3.93469e-08	1.76985e-23
4.67896e-09	2.52485e-08	4.69411e-24
4.66899e-09	1.98654e-08	2.70351e-24
4.91961e-09	3.6547e-08	1.19561e-23
4.25328e-09	3.44078e-08	1.02415e-23
8.27362e-09	2.91544e-08	7.77141e-24
5.78487e-09	2.86291e-08	4.69886e-24
5.72265e-09	2.58426e-08	5.66577e-24
8.55787e-09	2.69917e-08	5.79379e-24
5.72575e-09	2.13388e-08	4.17169e-24
5.81854e-09	3.6547e-08	9.94593e-24
1.28267e-08	3.39638e-08	1.24981e-23
6.58111e-09	2.80939e-08	6.98961e-24
4.96078e-09	2.80939e-08	6.1336e-24
7.68479e-09	3.44078e-08	9.767e-24
4.97261e-09	2.86291e-08	6.76648e-24
4.24098e-09	2.58426e-08	4.74771e-24
